sample	unclassified-kra_unclassified-seq_ERR9709202__merged	unclassified-kra_unclassified-seq_ERR9709203__merged	unclassified-kra_unclassified-seq_ERR9709204__merged	unclassified-kra_unclassified-seq_ERR9709206__merged	unclassified-kra_unclassified-seq_ERR9709208__merged	unclassified-kra_unclassified-seq_ERR9709209__merged	unclassified-kra_unclassified-seq_ERR9709210__merged	unclassified-kra_unclassified-seq_ERR9709211__merged	unclassified-kra_unclassified-seq_ERR9709212__merged	unclassified-kra_unclassified-seq_ERR9709213__merged	unclassified-kra_unclassified-seq_ERR9709214__merged	unclassified-kra_unclassified-seq_ERR9709215__merged	unclassified-kra_unclassified-seq_ERR9709216__merged	unclassified-kra_unclassified-seq_ERR9709217__merged	unclassified-kra_unclassified-seq_ERR9709218__merged	unclassified-kra_unclassified-seq_ERR9709219__merged	unclassified-kra_unclassified-seq_ERR9709220__merged	unclassified-kra_unclassified-seq_ERR9709221__merged	unclassified-kra_unclassified-seq_ERR9709224__merged	unclassified-kra_unclassified-seq_ERR9709225__merged	unclassified-kra_unclassified-seq_ERR9709226__merged	unclassified-kra_unclassified-seq_ERR9709227__merged	unclassified-kra_unclassified-seq_ERR9709228__merged	unclassified-kra_unclassified-seq_ERR9709230__merged	unclassified-kra_unclassified-seq_ERR9709231__merged	unclassified-kra_unclassified-seq_ERR9709234__merged	unclassified-kra_unclassified-seq_ERR9709235__merged	unclassified-kra_unclassified-seq_ERR9709236__merged	unclassified-kra_unclassified-seq_ERR9709238__merged	unclassified-kra_unclassified-seq_ERR9709240__merged	unclassified-kra_unclassified-seq_ERR9709241__merged	unclassified-kra_unclassified-seq_ERR9709242__merged	unclassified-kra_unclassified-seq_ERR9709243__merged	unclassified-kra_unclassified-seq_ERR9709244__merged	unclassified-kra_unclassified-seq_ERR9709245__merged	unclassified-kra_unclassified-seq_ERR9709246__merged	unclassified-kra_unclassified-seq_ERR9709247__merged	unclassified-kra_unclassified-seq_ERR9709248__merged	unclassified-kra_unclassified-seq_ERR9709249__merged	unclassified-kra_unclassified-seq_ERR9709251__merged	unclassified-kra_unclassified-seq_ERR9709252__merged	unclassified-kra_unclassified-seq_ERR9709253__merged
unclassified-kra_unclassified-seq_ERR9709202__merged	0.0	0.0023830515425433685	0.005636824906653293	0.005527735801771683	0.005544494257621602	0.005664385453645671	0.0055742183751686936	0.0058337937108400295	0.005970259550379331	0.005614325586829727	0.00594050833427473	0.005945602561038488	0.005807640106663903	0.005707909512655429	0.005673693796358847	0.005756667334843812	0.005689353735678471	0.005167067779509149	0.006227266756385519	0.005774368865373858	0.005720750808908215	0.005701382017375023	0.005734061736183849	0.005648320038281307	0.005750347128082645	0.005568370582278992	0.0056992682321452826	0.00592258551286573	0.005615334611326572	0.0057162517416239345	0.005538414789470147	0.005767930806196753	0.005758055106929616	0.005739752782653262	0.0056705235730063475	0.0056881868829705695	0.005747752973652043	0.0057044384835664985	0.005720213221084514	0.0026147208954442336	0.005635153759616873	0.005891611833730992
unclassified-kra_unclassified-seq_ERR9709203__merged	0.0023830515425433685	0.0	0.0024416155874180667	0.002382945677527837	0.002378081930040854	0.0025704713668166512	0.0025216735782367383	0.002809826170157237	0.002977895632398697	0.002540435084787296	0.002923728657622915	0.002937893056252139	0.002776576975680123	0.0026209364741439645	0.0025416981214444467	0.0026110765633166055	0.002515200172608534	0.0019471606966983135	0.00317012960721319	0.0027151011093735633	0.0026189226577657543	0.0025727059693457788	0.0026424103697115786	0.0025795042135323687	0.0026016330057155868	0.0025148870085340835	0.002595964478130375	0.0029446200834066794	0.002583063250142792	0.002607109148132003	0.002446115805328275	0.0027088464879393426	0.0026605393255058063	0.0026096307564626997	0.002545173002431067	0.002680596253182399	0.0025704756490175784	0.0026525793597299563	0.002569812943590599	0	0.0025049259055239803	0.002867633489246346
unclassified-kra_unclassified-seq_ERR9709204__merged	0.005636824906653293	0.0024416155874180667	0.0	0.0055627875623981415	0.0055765647887188186	0.0056838547940142314	0.005652121559907464	0.0058362672379641545	0.0059688371640787	0.005613034795570626	0.005909050952147887	0.005851567238806754	0.005961623736849608	0.005739377215526753	0.005699707085250361	0.005779515775859223	0.005749468817116021	0.0052224767931997595	0.006200992964134788	0.005872346584994248	0.005771520788658724	0.005697792097193899	0.005828496203398981	0.005739542704753187	0.005694185585276901	0.005634212471446354	0.0057228161231021035	0.005907898257334732	0.005625279941369854	0.005749543353679054	0.005610565795677425	0.0058833626509815495	0.005795503308305694	0.0058062588514417035	0.00570899695473015	0.005775164387457399	0.0056922886475802015	0.005792935909674224	0.005661155917944027	0.002444010470429303	0.0056096201883159	0.005848390513041535
unclassified-kra_unclassified-seq_ERR9709206__merged	0.005527735801771683	0.002382945677527837	0.0055627875623981415	0.0	0.0055062161556344025	0.005555182707077	0.005528935942907154	0.005775221804510067	0.005878068405666181	0.005555541593205815	0.00582119672225756	0.005855434189571018	0.005701101244885209	0.005591427979642738	0.005562804539926525	0.005609149771675481	0.00561464563779368	0.005016655504145429	0.006097660716020803	0.0056714331323782785	0.0056152373462485805	0.00560270164267862	0.005694181100573292	0.005560914716801979	0.005596100098693935	0.005503740505023447	0.00559644887476729	0.005829594093451629	0.005510708400273567	0.0056180478466212325	0.005437415356190578	0.0056563427810158995	0.005630034180337695	0.005649376184610033	0.005597407586841574	0.005601008795670603	0.005632487759848037	0.005596228674484172	0.005571202100074224	0.0026154314665280953	0.005543348653174962	0.005849795191429807
unclassified-kra_unclassified-seq_ERR9709208__merged	0.005544494257621602	0.002378081930040854	0.0055765647887188186	0.0055062161556344025	0.0	0.005641925086098842	0.005576052602469073	0.00585110701820768	0.005955457564257971	0.005546504287850529	0.005862966836984285	0.00581474853648134	0.005791399010407816	0.005689773116302033	0.005625892918348141	0.0056733554827864685	0.0056749313152471	0.005147818405428772	0.006148304787509162	0.0057332842194161016	0.005639263481302836	0.005607688852839243	0.005722055166088924	0.005658252235563599	0.005628296862498106	0.005552105992541523	0.005689670049341955	0.005899307716107582	0.00562993587640348	0.005671993610664616	0.005541735138464676	0.0057207382886363956	0.00569316700795286	0.0057211578238677285	0.005623278504859219	0.005607059322942032	0.0056693983256544955	0.0057650652153213855	0.005639222653933573	0.00251836519390769	0.0056067834154015506	0.005833487491925138
unclassified-kra_unclassified-seq_ERR9709209__merged	0.005664385453645671	0.0025704713668166512	0.0056838547940142314	0.005555182707077	0.005641925086098842	0.0	0.005650480704743277	0.005916105118965231	0.005903595032035414	0.005622089539545683	0.005833829251653766	0.00587475932512771	0.005760593491645261	0.0056646712499145435	0.005693240600675997	0.005691211158155851	0.005664034313914379	0.005063801880371477	0.006117481715412043	0.0057102694727534375	0.00561632968018988	0.005601112685653331	0.005662616387490549	0.00558879061412465	0.005620272386961278	0.005551887297480351	0.005695607047898954	0.005844079426379656	0.005544760292641948	0.005621218242437109	0.005606066917807073	0.0057904136531905515	0.005654549698869138	0.005723523125753416	0.0056388019811091095	0.005652140375217551	0.005815979644831715	0.005571960231798401	0.005604303230598795	0.0024724158436297827	0.005642492622344286	0.005899000101778795
unclassified-kra_unclassified-seq_ERR9709210__merged	0.0055742183751686936	0.0025216735782367383	0.005652121559907464	0.005528935942907154	0.005576052602469073	0.005650480704743277	0.0	0.005903130957115144	0.005980908901449644	0.005628595486761423	0.005877408927817407	0.00590436407888506	0.005847497855586248	0.005772072788521876	0.005715618207468132	0.005748291298089514	0.005721031337668103	0.005178758402412331	0.006174732121848603	0.005849250131125583	0.005730826082060214	0.005648522817530144	0.005808158839962108	0.005716132213024028	0.005706517737287697	0.005650335098714709	0.005714819603290344	0.005959227316249649	0.005677067998735241	0.005718173906790636	0.005625895635375411	0.005817256619482181	0.005762710088375811	0.005742342655676191	0.005712112656205415	0.005726741134898683	0.0057096219284024086	0.005791069710654684	0.005706493657093636	0.002478487251680983	0.005613450693998212	0.0059544464405796305
unclassified-kra_unclassified-seq_ERR9709211__merged	0.0058337937108400295	0.002809826170157237	0.0058362672379641545	0.005775221804510067	0.00585110701820768	0.005916105118965231	0.005903130957115144	0.0	0.006277975087947807	0.005879522129496384	0.006136145329215359	0.0061821815016197545	0.006126150341765557	0.006023106251348498	0.00599003477029747	0.006024888337316736	0.005961790797654687	0.005473271678166802	0.006463489686382218	0.006113364556952661	0.00599100174560141	0.005959887320267976	0.0060358955366873746	0.0059350629168435365	0.0059749106734180435	0.005918114408454245	0.005968516951483149	0.0061835052286479675	0.0059382212358427555	0.006028929733133959	0.005822736810740636	0.006061928919330661	0.006020161678561009	0.0060504713966187396	0.005968374070347782	0.0060362488680918425	0.005977814371295742	0.005998063938329579	0.005958568972548761	0.002678132060169869	0.005842683525029035	0.0061071371930869756
unclassified-kra_unclassified-seq_ERR9709212__merged	0.005970259550379331	0.002977895632398697	0.0059688371640787	0.005878068405666181	0.005955457564257971	0.005903595032035414	0.005980908901449644	0.006277975087947807	0.0	0.005916954070736669	0.006132909199848879	0.006133682030786902	0.006109929321589713	0.006017370570229885	0.005970935455036797	0.005961450587080974	0.005996518346420232	0.005459881943975842	0.006429889549933954	0.0060253008036443845	0.005999951922276314	0.005953728010995141	0.006072383009332882	0.005952689013058676	0.005913907949383845	0.005911382635867213	0.006030965330561355	0.006137096382482277	0.005912803689963497	0.005999766615588875	0.005968223667935257	0.0061170483831423095	0.006048948398962972	0.006041237289479695	0.005964400482476151	0.00603714842248082	0.006019037112821479	0.005956231529498979	0.005971425281131815	0.0026187492056629624	0.0059322807607198325	0.006133248341396058
unclassified-kra_unclassified-seq_ERR9709213__merged	0.005614325586829727	0.002540435084787296	0.005613034795570626	0.005555541593205815	0.005546504287850529	0.005622089539545683	0.005628595486761423	0.005879522129496384	0.005916954070736669	0.0	0.005788211351649752	0.005752063868170065	0.0057741288028216875	0.005692511604342032	0.005719539736919632	0.005721302369589787	0.005664224641653504	0.005149983983248174	0.006098022283959281	0.005739405218955551	0.005648879027506215	0.005603536249813024	0.005692041754610799	0.005634986052298285	0.0056515385041328026	0.005522115896776203	0.00562418468674164	0.005794967667745787	0.005589087459372144	0.005665532107418048	0.00560285527127391	0.0057242314525919324	0.005702899303950182	0.005715737356873363	0.005597437488944923	0.00567303768849714	0.005708847435826003	0.00565031687948081	0.005597590556922882	0.0024033737410326106	0.005539868904992473	0.0057985592131244434
