sample	unclassified-kra_unclassified-seq_ERR9709202__merged	unclassified-kra_unclassified-seq_ERR9709203__merged	unclassified-kra_unclassified-seq_ERR9709204__merged	unclassified-kra_unclassified-seq_ERR9709206__merged	unclassified-kra_unclassified-seq_ERR9709208__merged	unclassified-kra_unclassified-seq_ERR9709209__merged	unclassified-kra_unclassified-seq_ERR9709210__merged	unclassified-kra_unclassified-seq_ERR9709211__merged	unclassified-kra_unclassified-seq_ERR9709212__merged	unclassified-kra_unclassified-seq_ERR9709213__merged	unclassified-kra_unclassified-seq_ERR9709214__merged	unclassified-kra_unclassified-seq_ERR9709215__merged	unclassified-kra_unclassified-seq_ERR9709216__merged	unclassified-kra_unclassified-seq_ERR9709217__merged	unclassified-kra_unclassified-seq_ERR9709218__merged	unclassified-kra_unclassified-seq_ERR9709219__merged	unclassified-kra_unclassified-seq_ERR9709220__merged	unclassified-kra_unclassified-seq_ERR9709221__merged	unclassified-kra_unclassified-seq_ERR9709224__merged	unclassified-kra_unclassified-seq_ERR9709225__merged	unclassified-kra_unclassified-seq_ERR9709226__merged	unclassified-kra_unclassified-seq_ERR9709227__merged	unclassified-kra_unclassified-seq_ERR9709228__merged	unclassified-kra_unclassified-seq_ERR9709230__merged	unclassified-kra_unclassified-seq_ERR9709231__merged	unclassified-kra_unclassified-seq_ERR9709234__merged	unclassified-kra_unclassified-seq_ERR9709235__merged	unclassified-kra_unclassified-seq_ERR9709236__merged	unclassified-kra_unclassified-seq_ERR9709238__merged	unclassified-kra_unclassified-seq_ERR9709240__merged	unclassified-kra_unclassified-seq_ERR9709241__merged	unclassified-kra_unclassified-seq_ERR9709242__merged	unclassified-kra_unclassified-seq_ERR9709243__merged	unclassified-kra_unclassified-seq_ERR9709244__merged	unclassified-kra_unclassified-seq_ERR9709245__merged	unclassified-kra_unclassified-seq_ERR9709246__merged	unclassified-kra_unclassified-seq_ERR9709247__merged	unclassified-kra_unclassified-seq_ERR9709248__merged	unclassified-kra_unclassified-seq_ERR9709249__merged	unclassified-kra_unclassified-seq_ERR9709251__merged	unclassified-kra_unclassified-seq_ERR9709252__merged	unclassified-kra_unclassified-seq_ERR9709253__merged
unclassified-kra_unclassified-seq_ERR9709202__merged	0.0	0.004926734506739006	0.004942971058213462	0.004814838888093356	0.005101840162990136	0.005091248167785753	0.00508360769481616	0.005158462139328524	0.005296299724360172	0.00486708548494054	0.004902601394406378	0.005046556046061472	0.005311550456915027	0.0051239316879628785	0.005285502858739936	0.005225094636622784	0.005379844551265281	0.005150089607565609	0.005371562215203713	0.005251130367956009	0.005192573223709212	0.005261401649340515	0.005418028444623537	0.00487882894301333	0.005013683050538875	0.004662246165037722	0.005179683158442448	0.0051857498765064325	0.004932515134246295	0.0051632124587836885	0.004915048654885514	0.005183399742008794	0.0053114717906513195	0.0051861624133766986	0.005566403367480664	0.005178116770936819	0.005123196623443486	0.005190130997557163	0.005430201448242918	0.0053445859505834754	0.004664887299426979	0.004925475493752616
unclassified-kra_unclassified-seq_ERR9709203__merged	0.004369024184907854	0.0	0.004327230765844625	0.004162918515187073	0.004559253669697846	0.004455694740499669	0.004641652221524625	0.004582795420310213	0.00463362852773581	0.004321705792579833	0.00425006872615396	0.004388919004723503	0.004893405764543518	0.004564816534344935	0.004702543236357888	0.00469222162554983	0.0048373270409426	0.0047471402868742105	0.004751746432496166	0.004724396976329389	0.004731092979325859	0.00464004903835171	0.004806435838212453	0.0042938490721232585	0.00449656392209502	0.004180201971413009	0.004558024247369171	0.004468542405891506	0.004412147483534181	0.00462927200116094	0.004359984222117909	0.004721239779908586	0.004539665125097897	0.004772402406058536	0.005000187560923903	0.004579590856350173	0.004493340693614248	0.004679799193443571	0.004921630449329689	0.004795518427409304	0.003954834346060547	0.004216244143240058
unclassified-kra_unclassified-seq_ERR9709204__merged	0.005650096285290296	0.005727342650863414	0.0	0.0054205608418258855	0.005827007086074275	0.005635168474648331	0.005755004072394292	0.00585134717356215	0.005927490130650332	0.00544494851663011	0.005541381287299779	0.005588851568300585	0.0059916139793935045	0.005689496170052543	0.005986521934011339	0.0058625716771773945	0.006145899222075852	0.005655006880777843	0.006021460250363449	0.005775542405111352	0.005793429352494614	0.0058078320072550435	0.006029160933399711	0.005426837136178327	0.005550156688751521	0.00529210697173637	0.005735884995362758	0.005766336842164504	0.005513482659862952	0.005744349967981411	0.005554246887836292	0.005867454101308903	0.005772763256405537	0.005844503043854992	0.006254061024540694	0.005794156190638672	0.005761195084060883	0.005875081159361251	0.006004788933263534	0.006001551446185886	0.005177704066801001	0.005545339869146569
unclassified-kra_unclassified-seq_ERR9709206__merged	0.004613655798876944	0.004542339716525621	0.00450883187983477	0.0	0.004642214934671621	0.004601548935101835	0.004672468085962602	0.00470262712382028	0.004820400664795437	0.004403879840364069	0.004343499868222583	0.004422416026415919	0.004846805988558908	0.004629106691874162	0.004764704187817975	0.004689149559848519	0.004987776723591315	0.004654609324567802	0.004847576868066793	0.00469017408536442	0.004727295066293723	0.004741679943276598	0.004943170530799732	0.0043924718285023815	0.004472094409941558	0.004246393631287746	0.004713129131694041	0.004633529794551427	0.0044141220047847814	0.0046174722340382585	0.004404056453716332	0.0046329249034070714	0.004746851116711245	0.004737056908783207	0.005167080630964667	0.004702529363001645	0.004598134677414259	0.00475178259614106	0.004883552885241518	0.004892318858548814	0.004069700210430582	0.004435500654627228
unclassified-kra_unclassified-seq_ERR9709208__merged	0.005341929438104356	0.005411750007020986	0.0053667548485576465	0.005078882249623232	0.0	0.0053714679819806274	0.005366609657375972	0.005591652409450407	0.005646354525288645	0.00511554656821386	0.005205665356892235	0.005263852225647617	0.005624672240523903	0.00535158093847242	0.005548490361878699	0.005506999642115241	0.00581954527473981	0.005505097990595445	0.005701199075412707	0.005500385530804228	0.005449267123233263	0.005526456781333431	0.0057412966106837795	0.005204612253827954	0.005231973205698352	0.00502551124762518	0.005457895976069689	0.0054644118838265	0.005231860775104656	0.005465797719990689	0.005254925083706982	0.005427804031158698	0.005468337164840894	0.005513552146531915	0.005876873941370361	0.005280105040565566	0.005408092547643712	0.005646394539558238	0.005745517247725109	0.00566711002668044	0.004930763271753424	0.005252846493826587
unclassified-kra_unclassified-seq_ERR9709209__merged	0.005093673263183384	0.004958027923257759	0.00496361321173162	0.004810691347795924	0.005150785952562109	0.0	0.005063248577278139	0.005149516930553555	0.005139024287812514	0.004776767944553046	0.004833623085905843	0.004821258879866171	0.005353868253709027	0.005054922252555526	0.005245144825922511	0.005115580430244138	0.005345273267537286	0.005116149792804592	0.005178734065689579	0.005167514560510819	0.005079819510738947	0.005108714947246013	0.005262691888152599	0.004861115682957826	0.004871357111931243	0.004695335669814123	0.005159989392199184	0.004920237634699271	0.004823703729132087	0.005015132177708012	0.005001446014454859	0.00520494266979679	0.0050938389588458645	0.005153540197164241	0.00535893002170865	0.00505795217837901	0.0050207253352017355	0.005042904512624313	0.005233168356834901	0.004985459067509761	0.00459574187855834	0.004808444931051373
unclassified-kra_unclassified-seq_ERR9709210__merged	0.005407669721236888	0.00554755232099903	0.00537898469379044	0.005201823481631785	0.005451274395061315	0.0053689536785353825	0.0	0.005672469743335701	0.005636694775908204	0.005220889188809033	0.00521700124813507	0.005348142011153069	0.005716247390296879	0.005580195930244587	0.00567764976977857	0.005618064966287907	0.005819301026544556	0.005470249297738056	0.005719792616568696	0.005585593013866294	0.005553294947308332	0.005536010338753606	0.00584938445979556	0.0053227391671344165	0.005383662390571655	0.00510859720796038	0.00552225128938376	0.005546220423161602	0.005343084254742484	0.005560948299957899	0.005399424075864654	0.005604552728076531	0.005575518565976403	0.00558385979020007	0.005965911197041849	0.005468124135141779	0.005435203447830791	0.005567553165675799	0.005815768844176841	0.005629659431966164	0.005033204607644772	0.0053464055473687235
unclassified-kra_unclassified-seq_ERR9709211__merged	0.005545284928961026	0.005632336515379992	0.005504603522271734	0.005277921588175144	0.00572033268519681	0.005516094400271762	0.0057348112211569	0.0	0.00597295937362781	0.005376865807479866	0.005463611893556025	0.005605872286616361	0.005892634591189239	0.005684118588223167	0.005901126868331302	0.005790445944856748	0.006053220968642914	0.0056445214988886765	0.005965989313445871	0.005706273783066034	0.0057419387558301236	0.005789581342722619	0.005978633774526217	0.00536291535519178	0.005543006681858184	0.005316993402434867	0.005705741119264952	0.0058219509882568325	0.005488444790380232	0.005734643317628458	0.0054565305080953065	0.005709024209067282	0.005739834156052545	0.005807333822950205	0.006182729564918566	0.005719220893215324	0.005703825077989812	0.005743653134066759	0.005951784643773987	0.005991015949547675	0.005141401969141232	0.005509764178637212
unclassified-kra_unclassified-seq_ERR9709212__merged	0.005426105821530789	0.005365786372049485	0.00533600163022332	0.0051369797932130585	0.0055225034601116	0.005244593444987555	0.005439436846837068	0.005710406992299015	0.0	0.005178214450735396	0.0052012818611067305	0.005263573357690134	0.005607566065905291	0.005399771601552995	0.005656422285136604	0.0053986972947889945	0.005763132897154416	0.005347920965505031	0.005575523382198358	0.0055013171654736265	0.005429633849536901	0.005482651167398318	0.005759479558585738	0.005097386560875459	0.005236700023457136	0.005029107438396336	0.00543087537686003	0.005370554476894464	0.005202893827539891	0.005336894193363911	0.0053303427922247	0.005516461334045987	0.005514744057119449	0.005464259132604143	0.005880789221278753	0.005450372711590364	0.005464409863703188	0.005416393195105575	0.00577572955365964	0.0056685279369745895	0.004900484911432735	0.0052974102841556155
unclassified-kra_unclassified-seq_ERR9709213__merged	0.005077735121829887	0.005059147681819353	0.004981664901218074	0.004828920538654241	0.005107638587260676	0.004974640152660302	0.005114547427903959	0.00522040970792857	0.005275197605222644	0.0	0.004650373267503397	0.004626299197036868	0.0052447747734173135	0.005089468296182342	0.0052937706876580535	0.0051887409087077035	0.005377487151747523	0.0052032073269636485	0.005256104953415149	0.005171643037990942	0.005147118210083139	0.005148464004668183	0.005295148031074421	0.004945199495258144	0.004894064517568984	0.004698631251177486	0.00512748528548712	0.004960116979859675	0.004993780440246563	0.005065298296815141	0.005016363436854142	0.005233924630548754	0.00521375840032235	0.005211722868225011	0.005405875146669729	0.005105587757847592	0.005068451998705716	0.005234272482389947	0.005281879205782884	0.00508840975530532	0.00450342880760345	0.004844430354736336
